合肥	hefei
上海	shanghai
锦州	jinzhou
宜宾	yibin
巢湖	chaohu
临沂	linyi
锡林郭勒	xilinguole
襄阳	xiangyang
安顺	anshun
邯郸	handan
丽江	lijiang
长春	changchun
太原	taiyuan
南昌	nanchang
北京	beijing
咸宁	xianning
崇左	chongzuo
衡阳	hengyang
沈阳	shenyang
清远	gdqingyuan
西宁	xining
镇江	zhenjiang
昆山	kunshan
广安	guangan
黔东南	qiandongnan
池州	chizhou
七台河	qitaihe
北海	beihai
苏州	suzhou
博州	xjbozhou
晋城	jincheng
眉山	meishan
信阳	xinyang
濮阳	puyang
惠州	huizhou
常州	changzhou
淄博	zibo
三明	sanming
湛江	zhanjiang
西双版纳	xishuangbanna
毕节	bijie
衡水	hengshui
平凉	pingliang
南通	nantong
驻马店	zhumadian
韶关	shaoguan
枣庄	zaozhuang
晋中	jinzhong
娄底	loudi
丽水	lishui
佛山	foshan
太仓	taicang
济宁	sdjining
梧州	wuzhou
朔州	shuozhou
江门	jiangmen
铜仁	tongren
嘉兴	jiaxing
贵港	guigang
绥化	suihua
黑河	heihe
红河	honghe
泰州	jstaizhou
思茅	simao
南充	nanchong
榆林	yulin
无锡	wuxi
胶南	jiaonan
怒江	nujiang
金华	jinhua
昌都	changdu
杭州	hangzhou
黄石	huangshi
通化	tonghua
周口	zhoukou
山南	shannan
固原	nxguyuan
胶州	jiaozhou
贵阳	guiyang
临汾	linfen
抚顺	fushun
景德镇	jingdezhen
中山	zhongshan
江阴	jiangyin
邵阳	shaoyang
莱州	laizhou
辽阳	liaoyang
平度	pingdu
阿勒泰	aletai
哈尔滨	haerbin
赣州	ganzhou
文山	wenshan
防城港	fangchenggang
金昌	jinchang
普洱	puer
潮州	chaozhou
怀化	huaihua
揭阳	jieyang
黔南	qiannan
金坛	jintan
新余	xinyu
乌鲁木齐	wulumuqi
漳州	zhangzhou
威海	weihai
东莞	dongguang
钦州	gxqinzhou
定西	dingxi
宁波	ningbo
河池	hechi
富阳	zjfuyang
白银	baiyin
石家庄	shijiazhuang
郑州	zhengzhou
盘锦	panjin
承德	chengde
遵义	zunyi
阳泉	yangquan
济南	jinan
长沙	changsha
台州	taizhou
芜湖	wuhu
昭通	zhaotong
海南	hainan
营口	yingkou
茂名	maoming
白城	baicheng
宜春	jxyichun
海口	haikou
吉安	jian
滨州	binzhou
玉溪	yuxi
深圳	shenzhen
银川	yinchuan
松原	songyuan
延边	yanbian
唐山	tangshan
汕头	shantou
兰州	lanzhou
雅安	yaan
石嘴山	shizuishan
牡丹江	mudanjiang
鹤岗	hegang
马鞍山	maanshan
淮北	huaibei
喀什	kashi
益阳	yiyang
大连	dalian
兴安盟	xinganmeng
黄冈	huanggang
六安	liuan
日照	rizhao
克州	kezhou
烟台	yantai
那曲	naqu
阿克苏	akesu
巴彦淖尔	bayannaoer
阳江	yangjiang
乐山	leshan
云浮	yunfu
鹰潭	yingtan
汉中	hanzhong
洛阳	lvyang
鸡西	jixi
菏泽	heze
张家港	zhangjiagang
句容	jurong
武威	wuwei
吐鲁番	tulufan
玉林	guangxiyulin
南阳	nanyang
四平	siping
包头	baotou
沧州	cangzhou
张家口	zhangjiakou
伊春	yichun
成都	chengdu
湖州	huzhou
铜陵	tongling
即墨	jimo
绵阳	mianyang
铜川	tongchuan
商洛	shanglv
张家界	zhangjiajie
宣城	xuancheng
五家渠	wujiaqu
遂宁	scsuining
海门	haimen
辽源	liaoyuan
宜兴	yixing
林芝	linzhi
德州	dezhou
湘潭	xiangtan
新乡	xinxiang
宿迁	suqian
葫芦岛	huludao
荆州	jingzhou
永州	yongzhou
白山	baishan
石河子	shihezi
聊城	liaocheng
昆明	kunming
库尔勒	kuerle
保山	baoshan
扬州	yangzhou
西安	xian
章丘	zhangqiu
双鸭山	shuangyashan
乌海	wuhai
临沧	lincang
嘉峪关	jiayuguan
阿坝	aba
岳阳	yueyang
温州	wenzhou
泰安	taian
保定	baoding
德宏	dehong
大兴安岭	daxinganling
大理	dali
舟山	zhoushan
和田	hetian
梅州	meizhou
玉树	yushu
泉州	quanzhou
天津	tianjin
黄山	huangshan
延安	yanan
吴江	wujiang
常熟	changshu
鄂州	ezhou
九江	jiujiang
阜阳	fuyang
阜新	fuxin
哈密	hami
资阳	ziyang
郴州	chenzhou
呼伦贝尔	hulunbeier
龙岩	longyan
瓦房店	wafangdian
廊坊	langfang
邢台	xingtai
咸阳	xianyang
上饶	shangrao
常德	changde
安庆	anqing
中卫	zhongwei
桂林	guilin
凉山	liangshan
三门峡	sanmenxia
莆田	putian
汕尾	shanwei
广州	guangzhou
随州	suizhou
绍兴	shaoxing
湘西	xiangxi
克拉玛依	kelamayi
东营	dongying
滁州	chuzhou
甘南	hljgannan
大同	datong
荆门	jingmen
宿州	anhuisuzhou
陇南	longnan
淮南	huainan
塔城	tacheng
海北	haibei
呼和浩特	huhehaote
贺州	hezhou
柳州	liuzhou
安阳	anyang
平顶山	pingdingshan
义乌	yiwu
徐州	xuzhou
莱芜	laiwu
长治	changzhi
淮安	huaian
亳州	bozhou
昌吉	changji
莱西	laixi
寿光	shouguang
达州	dazhou
珠海	zhuhai
肇庆	zhaoqing
福州	fujianfuzhou
连云港	lianyungang
渭南	weinan
潍坊	weifang
南宁	nanning
漯河	luohe
招远	sdzhaoyuan
忻州	xinzhou
日喀则	rikaze
蚌埠	bangbu
六盘水	liupanshui
阿里	ali
乳山	rushan
迪庆	diqing
鞍山	anshan
临夏	linxia
运城	sxyuncheng
甘南	gannan
自贡	zigong
德阳	deyang
泸州	luzhou
楚雄	chuxiong
三亚	sanya
酒泉	jiuquan
佳木斯	jiamusi
焦作	jiaozuo
吴忠	wuzhong
铁岭	tieling
武汉	wuhan
株洲	zhuzhou
天水	tianshui
商丘	shangqiu
孝感	xiaogan
吉林	jilin
恩施	enshi
蓬莱	penglai
巴中	bazhong
青岛	qingdao
厦门	xiamen
黄南	huangnan
宁德	ningde
拉萨	lasa
攀枝花	panzhihua
荣成	sdrongcheng
吕梁	lvliang
临安	linan
阿拉善盟	alashanmeng
海东	haidong
庆阳	gsqingyang
萍乡	pingxiang
朝阳	chaoyang
溧阳	liyang
张掖	zhangye
宝鸡	baoji
来宾	laibin
齐齐哈尔	qiqihaer
通辽	tongliao
甘孜	ganzi
海西	haixi
内江	neijiang
河源	heyuan
盐城	yancheng
本溪	benxi
宜昌	yichang
秦皇岛	qinhuangdao
十堰	shiyan
果洛	guolv
安康	ankang
丹东	dandong
二连浩特	erlianhaote
文登	wendeng
南平	nanping
衢州	quzhou
大庆	daqing
重庆	chongqing
鄂尔多斯	eerduosi
开封	kaifeng
南京	nanjing
赤峰	chifeng
鹤壁	hebi
抚州	fuzhou
许昌	xuchang
广元	guangyuan
曲靖	qujing
黔西南	qianxinan
伊犁哈萨克州	yili
